年月日,Data Field,1101 台泥,1102 亞泥,1216 統一,1301 台塑,1303 南亞,1326 台化,1402 遠東新,2002 中鋼,2105 正新,2801 彰銀,2823 中壽,2880 華南金,2881 富邦金,2882 國泰金,2883 開發金,2884 玉山金,2885 元大金,2886 兆豐金,2887 台新金,2890 永豐金,2891 中信金,2892 第一金,5880 合庫金,5871 中租-KY,9904 寶成,6505 台塑化,2303 聯電,2330 台積電,2408 南亞科,2454 聯發科,2301 光寶科,2357 華碩,2382 廣達,2395 研華,4938 和碩,2409 友達,3008 大立光,3481 群創,2412 中華電,3045 台灣大,4904 遠傳,2308 台達電,2317 鴻海,2354 鴻準,2474 可成
2016/1/4,收盤價(元),21.21,23.82,46.88,62.4,48.33,58.1,22.4,15.96,45.32,12.34,19.48,11.56,37.86,36.39,6.69,13.66,10.63,17.67,8.53,7.26,13.12,11.88,10.67,46.13,36.64,66.16,10.45,125.34,38.91,217.74,25.26,220.25,42.7,171.34,59.36,7.81,2079.61,8.73,85.73,84.16,57.27,133.56,78.1,59.61,245.01
2016/1/5,收盤價(元),21.41,23.59,47.06,62.83,48.41,58.35,22.4,15.82,45.93,12.42,19.44,11.52,36.9,35.61,6.69,13.8,10.45,17.59,8.45,7.22,13.08,11.92,10.67,45.78,37.12,65.64,10.41,123.99,38.78,215.52,26.13,219.83,42.53,170.09,60.36,7.59,2017.46,8.65,86.26,84.5,56.75,133.11,78.2,58.73,238.26
2016/1/6,收盤價(元),21.13,23.54,47.06,62.92,48.41,58.44,22.35,15.77,46.37,12.51,19.29,11.48,35.64,34.96,6.62,13.84,10.41,17.29,8.53,7.2,12.92,11.84,10.67,45.78,37.47,66.24,10.41,121.74,37.26,201.74,26.09,221.93,41.98,174.68,56.93,7.5,1874.04,8.6,86.17,83.73,56.49,132.66,78.1,56.19,225.67
2016/1/7,收盤價(元),22.18,23.73,46.8,62.92,48.5,58.78,22.62,15.91,46.02,12.3,18.74,11.29,34.47,34.36,6.43,13.55,10,16.83,8.33,6.97,12.72,11.76,10.52,44.15,36.9,65.56,10.14,119.5,36.61,183.08,26.13,225.29,41.14,171.34,55.08,7.49,1749.74,8.66,86.61,83.73,56.75,132.66,77.41,56.1,203.2
2016/1/8,收盤價(元),21.9,23.59,46.1,61.54,47.91,58.01,22.4,15.87,45.23,12.26,18.74,11.29,34.47,34.62,6.44,13.4,10.05,17.04,8.26,7.03,12.8,11.76,10.52,44.32,37.56,65.38,10.1,120.4,37.22,189.74,25.63,232.44,42.45,169.26,56.17,7.53,1888.38,8.65,86.78,83.73,57.09,130.87,77.11,55.93,198.25
2016/1/11,收盤價(元),21.09,23.32,45.14,61.8,47.91,58.52,22.26,15.82,45.58,12.22,18.28,11.1,33.9,33.79,6.21,12.75,9.69,16.91,7.84,6.8,12.48,11.64,10.36,44.15,36.9,65.38,9.79,119.5,38.86,185.74,24.6,231.6,42.36,170.92,54.16,7.44,1850.14,8.5,87.3,84.42,57.18,129.98,74.54,53.47,199.6
2016/1/12,收盤價(元),21.17,23.18,44.36,62.83,48.25,59.38,22.13,15.68,45.14,12.26,18.4,11.18,34.42,33.71,6.22,12.56,9.64,17.04,7.8,6.8,12.4,11.68,10.4,43.63,37.38,66.16,9.83,119.5,36.48,183.52,24.97,230.34,42.53,172.18,55.84,7.86,1759.3,8.73,88.18,85.45,57.44,132.22,75.43,52.33,182.97
2016/1/13,收盤價(元),21.7,23.45,45.49,64.55,48.08,59.97,22.22,15.91,44.53,12.38,18.51,11.18,33.99,33.27,6.29,12.31,9.64,17,7.84,6.93,12.64,11.72,10.44,45.09,36.99,67.88,9.79,119.95,36.82,183.52,25.63,230.76,42.78,174.68,56.42,7.92,1878.82,8.91,88.61,85.45,57.96,132.66,75.73,52.07,193.76
2016/1/14,收盤價(元),21.7,23.14,46.1,64.81,47.74,59.97,22.35,15.87,44.35,12.22,18.32,11.14,33.03,32.06,6.18,12.09,9.33,16.83,7.72,6.76,12.52,11.68,10.32,44.58,35.23,67.97,9.88,118.15,37.3,184.85,25.26,230.76,42.78,175.09,55,7.78,1773.65,8.84,89.49,85.36,58.13,128.18,75.13,51.28,196.45
2016/1/15,收盤價(元),21.82,23.14,46.01,65.07,47.74,60.48,22.22,15.91,43.91,12.26,17.81,11.02,31.99,30.76,5.98,11.98,9.1,16.7,7.72,6.64,12.12,11.64,10.2,43.37,35.23,67.79,9.96,123.09,36.91,182.19,25.39,233.28,42.11,175.09,54.41,7.48,1931.41,8.61,88.18,84.16,58.22,129.53,74.44,51.45,196.45
2016/1/18,收盤價(元),21.58,23.05,45.32,65.07,47.66,59.72,21.95,15.73,43.52,12.18,17.85,10.87,32.47,30.33,6.07,11.87,9.19,16.53,7.95,6.67,12.16,11.49,10.16,44.15,35.14,67.97,9.88,123.09,37.26,186.63,25.51,227.39,41.6,171.76,57.01,7.5,1907.51,8.55,87.3,84.16,58.82,125.94,74.05,53.91,196.9
2016/1/19,收盤價(元),21.5,23.14,45.66,65.07,47.4,59.72,21.77,15.96,43.91,12.18,17.93,10.94,32.29,30.59,6.13,12.02,9.19,16.83,7.88,6.72,12.2,11.45,10.28,43.98,34.13,67.36,9.88,123.99,35.83,192.41,25.8,227.39,41.56,171.76,58.85,7.47,1936.19,8.56,88.61,84.16,59.34,121.46,74.44,54.87,208.59
2016/1/20,收盤價(元),21.17,23.05,46.1,65.5,47.07,58.95,21.59,15.59,43.39,12.18,17.66,10.98,31.03,29.38,5.96,11.65,9.02,16.45,7.72,6.54,11.88,11.41,10.28,42.68,33.12,67.88,9.83,120.85,33.4,186.63,25.76,221.51,40.97,168.42,55.42,7.22,1816.67,8.33,88.61,83.3,59,116.98,72.27,52.59,193.31
2016/1/21,收盤價(元),20.97,22.73,45.49,63.69,46.23,57.76,21.19,15.59,42.86,12.1,17.74,10.75,30.42,29.12,5.83,11.58,8.94,16.2,7.65,6.44,11.6,11.21,10.12,42.94,32.64,67.88,9.83,121.29,33.75,186.63,25.51,220.67,40.25,162.17,56.34,7.27,1945.75,8.43,87.74,83.3,58.56,114.29,71.87,52.59,197.35
